time_utc,symbol,side,source,price,qty,gross_usdt,fee_usdt,realized_pnl_usdt,score,stop_pct,take_profit_pct,reason
2026-08-28T10:42:36.335615+00:00,MORPHOUSDT,BUY,CORE,2.6087824000,0.7658745321,2.000000,0.002000,0.000000,7.802,0.010094,0.022568,CORE|PROBE|trend+slope+rsi+mom5+mom15+mom30+volume+gap
2026-08-28T11:41:49.250520+00:00,MORPHOUSDT,SELL,CORE,2.6381286747,0.7658745321,2.020476,0.002020,0.018455,7.802,0.010094,0.022568,TRAILING_STOP
2026-08-30T06:42:08.134724+00:00,TAOUSDT,BUY,CORE,237.5712500000,0.0084116606,2.000369,0.002000,0.000000,7.307,0.006000,0.015608,CORE|PROBE|trend+slope+rsi+mom5+mom15+mom30+volume+gap
2026-08-30T09:26:21.925548+00:00,TAOUSDT,SELL,CORE,237.7286600000,0.0084116606,1.999693,0.002000,-0.002676,7.307,0.006000,0.015608,TIME_EXIT
2026-08-31T17:57:45.529395+00:00,ZECUSDT,BUY,CORE,848.8745860000,0.0016478532,1.400221,0.001400,0.000000,7.795,0.007529,0.018208,CORE|PROBE|trend+slope+rsi+mom5+mom15+mom30+volume+gap
2026-08-31T18:25:20.944574+00:00,ZECUSDT,SELL,CORE,864.0712603750,0.0016478532,1.423863,0.001424,0.022218,7.795,0.007529,0.018208,ATR_TAKE_PROFIT
2026-09-01T05:12:52.613815+00:00,BMTUSDT,BUY,CORE,0.0204961470,195.0375529884,4.001520,0.004002,0.000000,7.231,0.006000,0.015608,CORE|NORMAL|trend+slope+rsi+mom5+mom15+mom30+volume+gap
2026-09-01T05:25:33.234296+00:00,BMTUSDT,SELL,CORE,0.0208098083,195.0375529884,4.058694,0.004059,0.053116,7.231,0.006000,0.015608,ATR_TAKE_PROFIT
2026-09-01T05:42:55.056512+00:00,LINKUSDT,BUY,CORE,11.4894458000,0.2610857557,3.002733,0.003003,0.000000,7.527,0.006000,0.015608,CORE|HOT_RECOVERY|trend+slope+rsi+mom5+mom15+mom30+volume+gap
2026-09-01T08:10:38.229264+00:00,LINKUSDT,SELL,CORE,11.4170829725,0.2610857557,2.980838,0.002981,-0.024876,7.527,0.006000,0.015608,ATR_HARD_STOP
2026-09-02T02:27:02.950777+00:00,DOTUSDT,BUY,CORE,0.8762628000,1.5971537033,1.400927,0.001401,0.000000,7.792,0.006385,0.016262,CORE|PROBE|trend+slope+rsi+mom5+mom15+mom30+volume+gap
2026-09-02T03:26:47.257680+00:00,DOTUSDT,SELL,CORE,0.8902452821,1.5971537033,1.421859,0.001422,0.019509,7.792,0.006385,0.016262,ATR_TAKE_PROFIT
2026-09-03T01:27:46.513539+00:00,SEIUSDT,BUY,CORE,0.0493347960,40.5335251007,2.001715,0.002002,0.000000,7.691,0.006000,0.015608,CORE|PROBE|trend+slope+rsi+mom5+mom15+mom30+volume+gap
2026-09-03T02:12:04.410731+00:00,SEIUSDT,SELL,CORE,0.0490240756,40.5335251007,1.987119,0.001987,-0.016583,7.691,0.006000,0.015608,ATR_HARD_STOP
2026-09-03T02:57:37.900775+00:00,FETUSDT,BUY,CORE,0.1545463500,13.5839568381,2.101452,0.002101,0.000000,7.656,0.006000,0.015608,CORE|HOT_RECOVERY|trend+slope+rsi+mom5+mom15+mom30+volume+gap
2026-09-03T03:41:44.544692+00:00,FETUSDT,SELL,CORE,0.1535729862,13.5839568381,2.086129,0.002086,-0.017410,7.656,0.006000,0.015608,ATR_HARD_STOP
