time_utc,symbol,source,regime,breadth_pct,technical_score,required_score,entry_ready,technical_pass,expert_score,expert_verdict,coverage,top_position_ratio,top_account_ratio,global_ratio,taker_ratio,oi_change_pct,funding_pct,shadow_action
2026-08-27T20:29:38.040425+00:00,ZECUSDT,TREND,WEAK,41.67,7.1651,99.3500,N,N,-0.0361,NEUTRAL,6,1.0255,0.4848,0.5270,1.0989,0.3005,0.00881,OBSERVE
2026-08-27T20:29:39.613848+00:00,XRPUSDT,TREND,WEAK,41.67,7.1641,99.3500,N,N,0.3585,CONFIRM,6,2.0596,2.7509,2.4578,1.1811,0.3700,0.00214,WOULD_SUPPORT_NEAR_READY
2026-08-27T20:29:41.192334+00:00,XLMUSDT,TREND,WEAK,41.67,7.1521,99.3500,N,N,0.1033,SUPPORT,6,1.4568,1.3579,1.0619,0.7703,0.2938,0.00324,OBSERVE
2026-08-27T20:29:42.764758+00:00,SOLUSDT,TREND,WEAK,41.67,7.0766,99.3500,N,N,0.3175,SUPPORT,6,1.9575,1.5329,1.4606,1.2240,0.3421,0.00045,OBSERVE
2026-08-27T20:29:44.333441+00:00,INJUSDT,CORE,WEAK,41.67,6.9379,99.0000,N,N,0.5388,CONFIRM,6,3.5048,1.4402,1.1887,4.4682,0.5269,-0.00526,WOULD_SUPPORT_NEAR_READY
2026-08-27T20:29:45.927051+00:00,XPLUSDT,TREND,WEAK,41.67,6.9018,99.3500,N,N,0.4588,CONFIRM,6,4.4832,1.0674,0.7581,1.6739,0.3597,0.00500,WOULD_SUPPORT_NEAR_READY
2026-08-27T20:34:27.569258+00:00,BICOUSDT,TREND,WEAK,58.33,7.7567,99.3500,N,N,0.4240,CONFIRM,6,1.4511,1.0280,0.8372,1.5313,0.5850,-0.12516,WOULD_SUPPORT_NEAR_READY
2026-08-27T20:39:38.078057+00:00,BEAMXUSDT,CORE,WEAK,68.33,7.4680,99.0000,N,N,0.1817,SUPPORT,6,0.7582,1.1070,1.0534,2.3877,0.9391,0.00500,OBSERVE
2026-08-27T20:44:32.263642+00:00,NEARUSDT,TREND,WEAK,55.00,7.2224,99.3500,N,N,0.4780,CONFIRM,6,2.9047,1.8645,1.5019,1.2494,0.4099,0.00574,WOULD_SUPPORT_NEAR_READY
2026-08-27T20:44:33.876300+00:00,BICOUSDT,TREND,WEAK,55.00,6.8927,99.3500,N,N,0.2919,SUPPORT,6,1.4500,1.0288,0.8382,1.1819,0.1312,-0.12853,OBSERVE
2026-08-27T20:44:35.487548+00:00,UNIUSDT,TREND,WEAK,55.00,6.8617,99.3500,N,N,0.4617,CONFIRM,6,2.8490,1.7503,1.5549,1.4704,0.1050,0.01000,WOULD_SUPPORT_NEAR_READY
2026-08-27T20:49:50.167950+00:00,PUMPUSDT,TREND,PROBE,83.33,7.1406,8.0500,N,N,0.1997,SUPPORT,6,1.2834,1.2134,1.2173,0.9773,0.6089,0.00481,OBSERVE
2026-08-27T20:49:51.785631+00:00,VIRTUALUSDT,CORE,PROBE,83.33,6.8928,7.7000,N,N,0.5248,CONFIRM,6,2.7586,1.3213,0.9944,2.0160,0.3852,-0.00032,WOULD_SUPPORT_NEAR_READY
2026-08-27T20:49:53.393820+00:00,AVAXUSDT,CORE,PROBE,83.33,6.7365,7.7000,N,N,0.3963,CONFIRM,6,2.7750,2.7665,2.1037,1.5041,0.1652,0.00781,WOULD_SUPPORT_NEAR_READY
2026-08-27T20:54:36.814383+00:00,XPLUSDT,TREND,WEAK,68.33,7.6104,99.3500,N,N,0.2608,SUPPORT,6,4.4579,1.0576,0.7522,1.0532,0.4776,0.00500,OBSERVE
2026-08-27T20:54:38.429655+00:00,PUMPUSDT,TREND,WEAK,68.33,7.2925,99.3500,N,N,0.2271,SUPPORT,6,1.2827,1.2031,1.2129,1.1337,0.6451,0.00494,OBSERVE
2026-08-27T20:54:40.034899+00:00,TRUMPUSDT,CORE,WEAK,68.33,6.7782,99.0000,N,N,0.5451,CONFIRM,6,2.0678,2.9324,2.7538,1.8275,0.2206,0.00500,WOULD_SUPPORT_NEAR_READY
2026-08-27T20:59:31.427802+00:00,PUMPUSDT,TREND,RISK_OFF,38.33,6.5406,99.3500,N,N,0.0200,NEUTRAL,6,1.2825,1.1959,1.2090,0.8205,-0.0745,0.00500,OBSERVE
2026-08-27T21:04:38.414777+00:00,XPLUSDT,TREND,RISK_OFF,60.00,7.2770,99.3500,Y,N,0.4794,CONFIRM,6,4.4553,1.0530,0.7486,1.6069,0.9505,0.00500,WOULD_SUPPORT_NEAR_READY
2026-08-27T21:04:40.453125+00:00,VIRTUALUSDT,CORE,RISK_OFF,60.00,7.4847,99.0000,N,N,0.1195,SUPPORT,6,2.7455,1.3132,0.9924,0.4534,0.2837,-0.00045,OBSERVE
2026-08-27T21:04:42.051907+00:00,AVAXUSDT,CORE,RISK_OFF,60.00,6.9220,99.0000,N,N,0.5675,CONFIRM,6,2.7688,2.7580,2.1066,4.2974,0.2935,0.00733,WOULD_SUPPORT_NEAR_READY
2026-08-27T21:09:44.884348+00:00,UNIUSDT,TREND,RISK_OFF,60.00,7.5005,99.3500,N,N,0.4409,CONFIRM,6,2.8458,1.7427,1.5562,1.2740,0.0371,0.01000,WOULD_SUPPORT_NEAR_READY
2026-08-27T21:09:46.932603+00:00,MOVRUSDT,CORE,RISK_OFF,60.00,6.8697,99.0000,N,N,0.2250,SUPPORT,6,1.3211,1.3359,1.1664,1.0295,1.9568,0.00079,OBSERVE
2026-08-27T21:14:33.711201+00:00,TRUMPUSDT,TREND,WEAK,66.67,7.1001,99.3500,N,N,0.3423,SUPPORT,6,2.0705,2.9401,2.7722,1.1338,0.2650,0.00500,OBSERVE
2026-08-27T21:14:35.313877+00:00,WLDUSDT,TREND,WEAK,66.67,6.8315,99.3500,N,N,0.5426,CONFIRM,6,2.1728,1.9931,1.6575,1.7142,0.2848,0.01000,WOULD_SUPPORT_NEAR_READY
2026-08-27T21:19:36.121454+00:00,HEIUSDT,CORE,WEAK,43.33,7.0022,99.0000,N,N,0.4273,CONFIRM,6,1.9088,1.1110,0.7449,1.3687,0.6521,0.00500,WOULD_SUPPORT_NEAR_READY
2026-08-27T21:24:28.682923+00:00,WLFIUSDT,CORE,RISK_OFF,30.00,7.3751,99.0000,N,N,0.1338,SUPPORT,6,1.4526,1.0056,0.7627,1.0928,0.2328,0.00500,OBSERVE
2026-08-27T21:24:30.256204+00:00,BICOUSDT,TREND,RISK_OFF,30.00,7.1832,99.3500,N,N,0.4901,CONFIRM,6,1.4410,1.0619,0.8587,1.8500,1.0072,-0.14843,WOULD_SUPPORT_NEAR_READY
2026-08-27T21:24:31.831206+00:00,HEIUSDT,CORE,RISK_OFF,30.00,6.5135,99.0000,N,N,0.4806,CONFIRM,6,1.9119,1.1124,0.7452,1.9084,0.3175,0.00500,WOULD_SUPPORT_NEAR_READY
2026-08-27T21:29:40.287522+00:00,ONTUSDT,CORE,RISK_OFF,48.33,7.4144,99.0000,N,N,0.1957,SUPPORT,6,1.2405,1.2321,0.9996,0.5556,0.7943,-0.25635,OBSERVE
2026-08-27T21:29:41.879620+00:00,WLFIUSDT,CORE,RISK_OFF,48.33,7.2658,99.0000,N,N,0.3444,SUPPORT,6,1.4525,1.0048,0.7612,1.7374,0.4201,0.00500,OBSERVE
2026-08-27T21:34:26.946018+00:00,ONTUSDT,CORE,RISK_OFF,25.00,7.9164,99.0000,N,N,0.3242,SUPPORT,6,1.2382,1.2267,1.0028,1.2376,0.1670,-0.26234,OBSERVE
2026-08-27T21:39:34.007951+00:00,ONTUSDT,CORE,RISK_OFF,38.33,7.9134,99.0000,N,N,0.3954,CONFIRM,6,1.2349,1.2252,1.0032,1.7425,0.1272,-0.27198,WOULD_SUPPORT_NEAR_READY
2026-08-27T21:39:35.611017+00:00,BICOUSDT,CORE,RISK_OFF,38.33,7.7685,99.0000,N,N,0.5421,CONFIRM,6,1.4503,1.0708,0.8615,1.7856,1.7708,-0.15850,WOULD_SUPPORT_NEAR_READY
2026-08-27T21:44:24.510207+00:00,ONTUSDT,CORE,RISK_OFF,20.00,7.6937,99.0000,N,N,0.3374,SUPPORT,6,1.2339,1.2262,1.0064,1.6862,0.3095,-0.28234,OBSERVE
2026-08-27T21:44:26.099770+00:00,BICOUSDT,TREND,RISK_OFF,20.00,7.6669,99.3500,N,N,0.3206,SUPPORT,6,1.4567,1.0743,0.8713,1.3463,0.7590,-0.16718,OBSERVE
2026-08-27T21:49:33.503680+00:00,HEIUSDT,CORE,RISK_OFF,20.00,7.4682,99.0000,N,N,0.4434,CONFIRM,6,1.9124,1.1084,0.7461,1.6383,0.3408,0.00500,WOULD_SUPPORT_NEAR_READY
